Ship_Size,Engine_Power_kW,Speed_knots,Fuel_Consumption_tonnes_per_hour
Very Large,74226.15,26.2,583.03
Large,35937.97,22.2,119.7
Medium,5550.25,14.0,3.89
Large,40614.97,23.4,142.83
Large,35963.4,16.1,86.7
Medium,10312.2,15.2,7.83
Very Large,63462.16,23.8,452.6
Medium,13459.48,18.7,12.6
Medium,9912.46,13.0,6.42
Small,2043.17,12.4,0.25
Medium,16837.57,16.0,13.46
Large,37525.98,22.4,125.91
Large,42363.18,19.3,122.75
Large,31363.18,18.4,86.44
Very Large,82295.86,25.7,634.69
Very Large,74912.38,23.3,523.72
Small,1567.52,10.5,0.16
Medium,10480.35,15.9,8.33
Medium,7798.51,14.3,5.57
Large,21669.6,23.4,76.14
Large,35735.34,19.1,102.4
Very Large,99862.78,29.0,867.79
Very Large,98473.52,28.7,846.53
Medium,19626.01,15.9,15.63
Medium,15029.65,19.4,14.61
Large,36051.1,19.8,106.89
Small,3962.72,10.9,0.43
Medium,15664.29,13.6,10.65
Very Large,62120.49,21.1,394.12
Medium,16516.69,12.7,10.49
Medium,7315.44,15.8,5.8
Large,37816.49,18.7,106.03
Very Large,56720.73,20.6,351.11
Very Large,60086.52,26.8,483.92
Very Large,62732.03,26.8,504.65
Small,1025.13,12.4,0.13
Medium,11177.61,14.8,8.27
Small,4328.27,13.7,0.59
Medium,6864.46,17.8,6.13
Small,1422.51,11.9,0.17
Small,3835.04,12.9,0.49
Very Large,89075.72,28.3,755.7
Small,1407.32,10.8,0.15
Small,1338.82,11.2,0.15
Medium,12845.98,14.9,9.55
Small,3147.38,13.4,0.42
Very Large,71956.75,23.8,513.11
Large,38723.05,20.4,118.48
Large,35081.61,17.3,91.15
Small,2261.67,12.7,0.29
Small,4579.12,13.1,0.6
Large,32945.84,18.3,90.58
Large,30047.17,16.4,73.88
Large,46358.87,20.0,138.76
Medium,18408.39,18.3,16.85
Medium,16286.05,17.7,14.38
Large,42318.39,15.3,97.34
Medium,15710.96,16.0,12.53
Medium,10131.23,18.6,9.41
Large,31364.65,19.6,92.07
Very Large,69864.36,28.0,586.29
Small,2688.61,12.0,0.32
Small,3740.16,13.2,0.49
Large,36965.25,22.2,122.88
Large,30370.88,16.8,76.61
Medium,10137.86,13.8,7.0
Large,33860.17,24.5,124.3
Very Large,95592.62,21.4,613.45
Medium,14171.81,12.1,8.61
Very Large,79648.15,21.0,502.31
Very Large,84832.54,29.2,743.77
Very Large,82568.36,27.7,686.45
Large,38201.45,19.2,110.26
Small,969.11,14.2,0.14
Large,33525.18,16.1,81.13
Small,1244.84,10.9,0.14
Large,47625.26,23.7,169.3
Large,26821.87,21.1,84.81
Large,21642.85,18.4,59.58
Very Large,89389.49,26.0,698.24
Large,31945.06,20.4,97.63
Large,47688.81,19.7,140.61
Large,42125.04,19.5,123.36
Large,20985.4,24.1,75.95
Medium,7645.8,16.0,6.11
Medium,5508.19,14.5,3.99
Small,3112.65,13.2,0.41
Very Large,60634.04,25.2,457.52
Small,4824.82,10.7,0.52
Medium,17909.48,16.3,14.58
Very Large,75109.75,26.0,584.82
Small,2287.93,12.1,0.28
Very Large,94902.71,22.1,627.82
Small,3312.39,11.9,0.39
Very Large,78242.06,20.7,484.88
Medium,15710.89,16.2,12.74
Medium,11611.44,15.2,8.83
Medium,16480.34,12.8,10.57
Very Large,93089.28,29.5,822.76
Very Large,63615.09,29.0,552.96
Medium,11131.01,12.2,6.79
Very Large,91989.44,28.7,791.2
Very Large,51354.8,22.2,342.33
Very Large,59805.65,25.1,449.53
Very Large,55205.43,28.0,463.71
Large,46623.81,20.6,143.84
Very Large,54972.07,22.4,369.94
Medium,14047.96,18.5,12.96
Very Large,69859.18,26.7,559.17
Small,2328.77,11.6,0.27
Medium,5195.03,12.7,3.29
Large,45443.84,16.2,110.62
Large,37491.25,19.2,108.05
Medium,18659.36,17.0,15.86
Large,27782.7,18.8,78.33
Large,21026.84,23.3,73.51
Small,2342.35,12.8,0.3
Medium,17916.02,13.8,12.32
Medium,16454.09,13.1,10.79
Medium,13486.65,19.9,13.41
Large,43995.66,19.3,127.05
Large,35373.73,22.4,118.95
Medium,14502.17,14.1,10.2
Medium,14675.81,15.4,11.28
Medium,12885.35,13.4,8.62
Large,40495.52,23.2,141.08
Very Large,55887.55,25.8,431.99
Medium,6007.63,15.2,4.58
Medium,17446.13,13.7,11.91
Medium,7100.28,14.1,5.01
Large,46216.7,21.0,145.4
Very Large,81654.9,24.9,611.01
Medium,18716.18,15.4,14.36
Very Large,88545.57,24.2,643.38
Medium,7494.25,17.9,6.71
Large,22710.11,22.7,77.36
Small,2251.83,11.4,0.26
Very Large,95775.68,27.2,781.97
Very Large,78320.23,24.8,581.77
Large,48622.61,16.4,119.25
Very Large,60747.02,20.3,370.16
Very Large,58100.69,28.4,495.28
Small,2733.65,13.0,0.35
Medium,14349.99,15.8,11.33
Small,838.12,13.6,0.11
Small,3672.16,13.0,0.48
Small,1608.81,14.1,0.23
Small,510.53,14.8,0.08
Medium,13853.46,14.9,10.31
Very Large,90371.51,29.6,803.07
Small,4776.07,12.2,0.58
Large,22601.16,24.6,83.34
Large,41966.75,23.1,145.2
Large,41723.1,21.4,133.76
Very Large,62483.4,24.9,466.64
Large,40795.26,15.5,94.95
Medium,5591.4,17.6,4.93
Large,49980.6,20.6,154.13
Medium,18732.32,12.3,11.49
Small,3789.61,11.0,0.42
Very Large,98552.91,29.4,870.5
Medium,16175.97,12.4,10.06
Large,29573.01,23.3,103.31
Small,3425.75,11.8,0.41
Very Large,56028.34,20.8,349.1
Small,2886.19,12.2,0.35
Large,21960.69,18.2,59.8
Small,2922.81,13.3,0.39
Small,3316.51,14.4,0.48
Medium,18149.98,15.3,13.92
Large,46102.97,15.2,105.2
Large,25564.19,18.8,72.24
Very Large,89939.16,30.0,808.9
Very Large,52634.19,20.9,329.79
Medium,12198.13,17.0,10.38
Very Large,63584.35,24.0,457.48
Medium,11266.5,15.4,8.66
Small,3795.22,10.0,0.38
Small,2095.8,11.4,0.24
Very Large,85777.67,25.9,666.26
Very Large,50893.7,29.9,456.17
Small,992.6,12.0,0.12
Very Large,60912.69,29.5,539.07
Small,1665.42,12.9,0.22
Large,46373.55,24.4,170.06
Large,47111.72,24.9,175.9
Large,49735.06,17.3,129.19
Very Large,91891.29,22.3,614.91
Large,35380.66,17.3,91.85
Medium,10761.36,12.3,6.61
Medium,16693.77,14.8,12.35
Small,3334.0,11.1,0.37
Small,4674.89,15.0,0.7
Small,1671.05,12.6,0.21
Medium,15440.31,13.2,10.21
Very Large,73169.04,26.2,575.75
Small,2916.38,13.0,0.38
Medium,17901.9,15.7,14.02
Very Large,63280.0,21.3,404.27
Small,699.69,14.3,0.1
Medium,17142.74,17.2,14.78
Small,3808.46,11.4,0.43
Very Large,68634.43,22.6,465.29
Small,719.53,12.7,0.09
Small,1490.82,13.4,0.2
Small,4961.64,10.3,0.51
Small,2662.64,13.0,0.35
Medium,13569.78,17.3,11.74
Very Large,78286.6,22.7,532.43
Medium,12818.9,18.9,12.14
Very Large,92529.09,28.7,795.92
Small,2003.04,11.2,0.22
Small,3560.63,13.1,0.47
Medium,7838.32,19.1,7.47
Small,4423.3,10.1,0.45
Large,20154.36,23.2,70.14
Small,3845.79,10.8,0.42
Very Large,77809.09,27.6,643.47
Very Large,50319.29,22.9,345.25
Medium,9896.5,16.5,8.15
Very Large,62990.18,26.3,497.75
Very Large,90933.97,21.3,580.64
Large,42830.84,20.4,131.14
Very Large,92006.08,23.9,660.28
Large,47960.84,16.0,115.29
Very Large,58687.67,27.7,487.84
Very Large,65048.18,27.1,528.48
Medium,15628.58,15.8,12.34
Medium,14313.73,12.4,8.85
Medium,19852.23,17.4,17.28
Very Large,87482.59,21.3,559.04
Small,2226.26,10.3,0.23
Small,1956.25,12.4,0.24
Large,27575.26,15.0,62.09
Medium,9104.4,20.0,9.09
Small,959.87,14.3,0.14
Large,43844.29,21.9,144.27
Very Large,91997.36,27.7,765.28
Very Large,82725.56,22.7,564.17
Small,4834.56,10.2,0.49
Small,4746.27,12.1,0.57
Large,48935.61,22.6,165.9
Small,4927.9,12.0,0.59
Very Large,86221.13,27.5,710.25
Large,20934.02,21.5,67.56
Very Large,78137.51,24.7,579.36
Large,49045.8,16.9,124.0
Small,910.24,10.8,0.1
Large,45343.5,22.6,153.78
Large,43903.93,17.9,118.16
Very Large,96042.39,26.2,753.93
Medium,11931.46,12.0,7.16
Large,23755.57,21.9,77.88
Very Large,77920.63,22.3,520.25
Very Large,53210.45,25.8,412.16
Small,3156.19,12.2,0.38
Very Large,72761.01,20.1,439.1
Medium,15206.85,15.2,11.53
Large,38000.62,17.9,102.13
Small,3906.77,14.8,0.58
Small,678.28,12.4,0.08
Very Large,57296.1,21.0,361.45
Medium,7137.43,16.0,5.71
Medium,8155.24,14.8,6.02
Very Large,50488.54,23.3,352.38
Medium,13013.63,19.1,12.4
Medium,5498.05,12.6,3.47
Medium,9831.42,19.8,9.74
Medium,15341.97,18.4,14.12
Medium,5617.75,17.4,4.88
Very Large,81821.51,27.1,664.34
Medium,13921.65,16.9,11.79
Large,36238.89,22.1,120.08
Very Large,97367.52,26.3,766.86
Very Large,66972.51,28.1,565.55
Large,39824.6,20.5,122.64
Medium,17259.47,15.6,13.48
Large,21222.62,16.6,52.97
Medium,6224.45,12.5,3.88
Large,39508.83,19.8,117.3
Large,26576.42,24.8,98.7
Very Large,87213.95,28.7,751.39
Small,3464.18,12.5,0.43
Medium,5312.92,17.2,4.58
Small,4983.5,14.9,0.74
Large,22445.79,19.0,64.08
Small,824.89,10.2,0.08
Small,4282.04,10.9,0.47
Small,3772.26,13.7,0.52
Very Large,81438.24,27.4,668.29
Medium,19814.74,12.3,12.21
Small,2812.98,12.9,0.36
Medium,15878.86,15.9,12.62
Medium,13965.85,18.3,12.81
Large,28304.83,20.9,88.84
Medium,10387.27,15.1,7.83
Medium,14473.4,17.9,12.93
Large,43280.01,19.1,123.69
Medium,7695.25,13.9,5.35
Medium,12689.23,15.3,9.71
Medium,12384.17,14.0,8.66
Very Large,70251.04,25.9,546.47
Large,30777.0,20.9,96.62
Medium,14781.85,14.5,10.71
Very Large,62906.67,26.6,501.38
Large,37652.38,21.0,118.53
Very Large,98491.05,24.5,725.03
Large,46511.29,19.4,135.49
Very Large,75988.7,23.4,532.76
Medium,7186.35,15.6,5.6
Very Large,80857.25,27.1,656.59
Very Large,67962.54,23.8,485.12
Large,42092.06,21.6,136.62
Small,4018.06,13.5,0.54
Very Large,79267.72,28.7,682.08
Very Large,76995.29,20.3,469.87
Medium,5856.3,16.2,4.76
Very Large,52584.84,26.4,416.47
Large,33565.97,24.3,122.54
Small,964.89,12.9,0.12
Very Large,57417.16,29.9,514.45
Very Large,84298.39,20.2,510.19
Small,3376.04,14.3,0.48
Large,27626.74,20.2,83.78
Large,40005.93,16.4,98.39
Very Large,56635.73,21.4,364.2
Medium,8027.8,17.4,6.98
Medium,7825.24,17.8,6.98
Small,2496.88,14.3,0.36
Medium,8829.6,17.3,7.63
Large,48338.43,21.8,158.3
Medium,8662.21,18.6,8.08
Large,37118.29,15.3,85.21
Very Large,89775.52,29.2,786.08
Small,1470.54,13.3,0.2
Small,3501.37,12.9,0.45
Medium,14867.68,20.0,14.86
Medium,9771.67,18.9,9.25
Small,4418.39,13.9,0.61
Small,1799.09,10.5,0.19
Medium,11062.1,14.6,8.08
Medium,11572.59,19.2,11.12
Small,4090.16,12.2,0.5
Large,31270.17,18.0,84.28
Large,20172.76,18.2,55.21
Very Large,80491.59,25.6,619.01
Large,31656.74,19.5,92.53
Small,2955.59,12.2,0.36
Medium,6097.94,16.8,5.13
Medium,14638.64,18.1,13.23
Small,2209.04,14.3,0.32
Very Large,92358.37,29.1,807.46
Small,2035.62,11.9,0.24
Medium,12899.36,14.0,9.01
Very Large,80395.25,27.6,666.85
Medium,16203.14,17.7,14.36
Large,20546.98,17.0,52.26
Large,46901.43,15.7,110.54
Large,27304.47,24.3,99.4
Large,25914.62,19.8,76.93
Large,23042.62,19.9,68.64
Very Large,76154.24,26.7,610.02
Small,4113.62,12.7,0.52
Very Large,54481.32,27.2,444.18
Medium,9089.36,15.3,6.96
Small,2851.16,10.6,0.3
Very Large,59071.92,25.3,447.5
Large,28858.35,22.9,99.28
Small,1654.53,14.8,0.25
Very Large,54351.95,28.2,459.12
Very Large,52170.63,26.3,412.12
Large,20077.52,21.4,64.39
Small,4478.93,11.1,0.5
Small,3409.73,10.9,0.37
Small,4279.38,14.5,0.62
Very Large,77831.85,22.6,526.68
Very Large,63740.3,28.2,539.74
Very Large,83571.23,28.1,704.39
Large,38715.78,19.5,113.35
Medium,7294.76,13.9,5.06
Very Large,93139.85,22.2,619.4
Small,1303.01,11.6,0.15
Large,38212.82,20.5,117.32
Medium,8853.26,17.1,7.55
Small,2735.45,14.9,0.41
Large,37911.41,21.8,123.73
Medium,11422.99,17.7,10.13
Small,571.19,11.7,0.07
Medium,6561.64,17.8,5.84
Medium,18582.87,18.2,16.89
Very Large,54282.91,28.9,471.32
Large,32035.64,18.7,89.71
Medium,10324.94,12.6,6.48
Small,4243.38,13.3,0.57
Very Large,61685.6,25.4,470.05
Medium,13892.18,17.4,12.11
Very Large,66216.69,23.3,463.45
Medium,5785.08,15.0,4.35
Medium,13366.75,17.8,11.93
Medium,10003.54,16.6,8.32
Medium,19364.38,13.4,12.98
Large,42645.13,16.7,106.86
Medium,6450.15,15.6,5.03
Very Large,50061.83,23.0,345.55
Very Large,89772.5,29.3,788.34
Small,1039.23,14.9,0.15
Medium,19887.25,19.4,19.31
Very Large,62182.84,26.7,498.38
Very Large,81179.28,20.9,508.78
Large,45940.59,21.1,145.3
Very Large,89101.4,27.1,724.06
Medium,6764.74,13.8,4.67
Small,2120.61,10.4,0.22
Large,27171.66,20.1,81.91
Large,31909.45,19.5,93.2
Very Large,93666.83,21.6,607.46
Medium,12454.45,19.9,12.42
Small,2259.69,12.5,0.28
Small,1023.65,14.1,0.14
Large,40229.11,20.3,122.65
Medium,17088.88,18.3,15.65
Very Large,90936.75,23.2,633.61
Large,25205.74,21.9,82.99
Medium,19359.84,16.6,16.05
Medium,17337.21,13.1,11.32
Medium,9705.92,16.9,8.18
Small,3228.14,13.8,0.45
Small,1928.89,14.8,0.28
Medium,7195.61,14.9,5.38
Very Large,73911.7,25.1,555.69
Large,48893.45,20.5,150.31
Very Large,56101.75,25.9,436.63
Large,35184.26,19.4,102.36
Very Large,92572.43,20.0,555.53
Large,38587.64,21.5,124.46
Large,31593.83,20.6,97.84
Medium,11897.01,12.5,7.41
Large,42627.61,21.2,135.52
Large,49510.37,17.4,129.16
Large,22238.89,22.8,76.15
Medium,6515.69,17.5,5.71
Very Large,80902.58,26.3,639.1
Very Large,90698.51,26.2,711.59
Very Large,58687.63,26.6,467.57
Medium,11391.25,13.0,7.43
Very Large,70239.92,26.5,559.27
Large,31032.78,19.1,89.1
Medium,7653.31,15.1,5.78
Small,549.64,12.1,0.07
Large,32557.42,22.9,111.85
Small,3921.3,10.7,0.42
Large,38568.45,18.2,105.49
Medium,8618.02,19.8,8.53
Medium,5969.25,12.3,3.68
Small,993.81,12.7,0.13
Large,34980.02,17.7,92.66
Small,2697.09,10.8,0.29
Very Large,62173.9,26.5,494.6
Large,31276.65,18.9,88.88
Medium,10885.91,19.6,10.7
Small,4799.01,13.9,0.67
Small,4742.74,14.0,0.67
Very Large,62733.53,28.4,534.65
Medium,8795.88,18.2,8.03
Very Large,81860.07,26.6,653.08
Large,33503.73,17.3,86.79
Small,799.93,12.6,0.1
Large,23170.8,24.9,86.48
Large,40406.83,15.4,93.44
Small,3857.93,13.3,0.51
Large,22137.7,15.1,50.21
Small,2788.61,11.9,0.33
Large,28896.07,18.5,80.17
Large,48269.46,22.8,165.36
Large,25223.28,16.0,60.48
Medium,17458.02,12.5,10.95
Medium,5314.17,12.7,3.36
Very Large,94945.04,27.8,792.55
Very Large,81233.18,23.8,580.48
Medium,5156.42,14.0,3.62
Very Large,88731.69,26.4,703.79
Medium,12173.83,19.2,11.67
Medium,16980.71,14.3,12.18
Very Large,55697.83,24.9,415.4
Very Large,87403.66,28.1,737.28
Very Large,57831.92,20.4,354.58
Small,4676.38,11.1,0.52
Small,2191.97,12.8,0.28
Medium,14194.09,19.5,13.87
Medium,18924.76,17.4,16.47
Large,46607.75,21.5,150.02
Large,40143.65,18.2,109.41
Large,45395.43,24.2,164.71
Medium,14541.06,13.8,10.01
Medium,17629.98,17.8,15.72
Large,25417.84,15.5,59.24
Very Large,77251.35,29.8,691.71
Medium,13093.34,17.8,11.67
Medium,6975.93,17.8,6.21
Large,48953.89,19.9,146.01
Large,45221.09,22.3,151.45
Large,42745.55,22.4,143.84
Large,28926.45,20.7,89.6
Small,921.91,12.9,0.12
Small,3925.05,10.8,0.42
Medium,13370.63,18.5,12.36
Very Large,86323.09,29.9,774.79
Very Large,59697.69,28.8,515.76
Medium,8060.53,16.4,6.63
Very Large,90755.92,26.1,711.97
Medium,10330.77,18.3,9.44
Very Large,76207.96,28.5,651.13
Medium,5529.67,18.0,4.97
Medium,16243.18,18.1,14.68
Very Large,66346.58,21.5,427.71
Large,34109.57,20.0,102.43
Medium,10524.64,15.6,8.2
Very Large,89019.99,22.2,592.13
Medium,10872.89,15.3,8.32
Very Large,58918.63,20.3,358.65
Medium,10332.4,18.4,9.48
Very Large,70116.36,28.7,604.6
Small,3390.46,10.3,0.35
Very Large,61271.94,27.0,496.84
Very Large,80174.38,26.8,643.75
Medium,14032.18,12.2,8.55
Large,34947.67,15.8,82.67
Medium,15431.23,18.0,13.86
Medium,15615.21,18.3,14.29
Very Large,76014.83,23.7,541.26
Medium,9922.89,15.5,7.68
Medium,10571.33,12.5,6.61
Very Large,86783.16,30.0,780.62
Very Large,64972.18,21.7,423.65
Medium,14542.66,18.3,13.3
Large,40577.34,24.9,151.62
Very Large,69191.65,25.7,533.86
Very Large,60146.82,25.7,462.93
Medium,10017.67,12.2,6.12
Small,3136.15,12.9,0.41
Medium,12771.18,14.4,9.19
Small,752.61,14.3,0.11
Medium,18090.95,18.7,16.95
Small,2664.08,12.2,0.32
Very Large,74148.44,21.3,474.58
Very Large,52492.1,29.0,457.3
Large,33105.52,22.3,110.71
Medium,5859.2,13.8,4.04
Very Large,56767.7,27.5,468.57
Very Large,73603.02,20.1,444.58
Very Large,52852.74,22.8,361.86
Very Large,63785.99,22.8,435.46
Medium,8743.19,14.2,6.2
Medium,11433.3,18.8,10.72
Medium,5980.49,15.9,4.75
Very Large,52325.03,26.2,411.23
Large,24177.36,20.3,73.71
Small,3973.36,10.4,0.41
Large,20654.7,21.6,67.04
Very Large,56399.41,28.8,487.65
Small,735.16,12.1,0.09
Very Large,81221.27,24.9,607.81
Small,1654.39,13.3,0.22
Medium,7867.86,14.7,5.79
Large,49160.16,21.1,155.48
Small,1323.57,10.1,0.13
Small,1513.93,11.3,0.17
Large,40512.62,20.5,124.28
Very Large,55738.44,28.6,478.26
Medium,13138.19,18.3,12.04
Small,2945.92,10.4,0.31
Medium,17703.78,15.4,13.66
Small,4755.64,14.2,0.68
Medium,6463.44,18.9,6.11
Large,39529.2,20.5,121.28
Very Large,89348.51,21.1,566.09
Large,33777.2,15.5,78.63
Large,34917.68,18.4,96.36
Small,1241.18,11.7,0.14
Medium,16311.62,12.1,9.9
Very Large,93891.5,28.8,811.1
