Ship_Type,Ship_Size,Fuel_Level_tonnes,Ship_Load_%,Wind_Speed_knots,Precipitation_mm_hr,Wave_Height_m,Storm_Severity,Distance_to_Disaster_km,Adjusted_Speed_knots
Passenger,Small,30.63,60.0,25.42,23.47,7.47,Medium,471.53,5.63
Tanker,Small,26.69,93.0,12.15,34.55,7.01,Medium,411.48,5.52
Tanker,Small,48.46,88.0,39.32,39.96,13.28,High,450.54,1.41
Tanker,Large,101.48,89.0,10.97,24.67,3.74,Low,341.49,16.8
Passenger,Large,123.24,91.0,8.11,8.26,3.04,Low,428.83,18.21
Container,Large,115.07,63.0,17.69,20.73,4.65,Medium,445.88,13.09
Passenger,Medium,82.8,74.0,2.27,39.31,2.56,Low,46.01,10.5
Tanker,Small,32.78,65.0,39.14,20.64,10.15,High,482.61,2.44
Container,Small,23.29,95.0,23.54,34.83,11.67,Medium,166.81,2.03
Container,Small,26.24,85.0,22.28,25.36,11.73,Medium,219.95,2.81
Tanker,Small,27.35,73.0,26.23,12.06,11.2,Medium,395.95,4.69
Container,Medium,69.11,63.0,19.88,39.81,7.47,Medium,332.45,8.39
Cargo,Small,33.53,72.0,1.28,4.21,0.6,Low,446.53,10.06
Passenger,Medium,53.17,73.0,24.49,26.24,4.99,Medium,200.29,7.35
Passenger,Small,41.05,89.0,28.65,10.44,11.95,Medium,186.64,2.43
Container,Medium,71.68,86.0,16.67,3.35,5.81,Low,15.84,9.88
Container,Small,28.34,95.0,30.29,25.15,15.22,High,231.36,0.0
Container,Small,47.36,79.0,9.08,24.98,2.89,Low,362.04,8.18
Container,Small,39.44,65.0,8.85,35.35,5.34,Medium,150.59,3.22
Passenger,Large,102.2,89.0,6.46,37.24,4.28,Low,231.36,15.62
Cargo,Large,133.31,90.0,14.88,36.39,4.89,Medium,109.7,9.54
Container,Small,27.82,82.0,33.88,20.48,13.46,High,386.39,1.41
Passenger,Medium,72.92,91.0,33.12,31.58,17.14,High,30.26,0.3
Container,Small,31.89,80.0,15.31,28.85,8.6,Medium,352.69,4.72
Cargo,Large,125.1,81.0,23.56,21.08,10.19,Medium,189.47,9.68
Tanker,Large,108.91,77.0,28.83,29.86,4.93,Medium,20.8,8.08
Tanker,Large,150.3,61.0,9.65,47.36,6.7,Medium,426.73,12.57
Tanker,Medium,55.88,64.0,6.73,9.64,2.93,Low,243.86,12.82
Passenger,Small,25.8,61.0,38.88,45.29,10.98,High,299.66,0.05
Tanker,Small,45.69,85.0,24.7,2.67,4.45,Low,366.02,7.73
Container,Small,37.63,73.0,39.26,15.42,6.52,Medium,327.54,3.75
Passenger,Medium,67.85,80.0,13.51,14.41,2.34,Low,365.43,13.66
Passenger,Medium,89.44,96.0,28.12,31.32,12.86,High,381.14,4.49
Container,Small,22.11,70.0,8.9,6.56,2.06,Low,294.58,7.96
Container,Large,115.07,76.0,10.45,44.12,3.35,Low,182.82,14.89
Container,Small,32.53,90.0,20.48,41.43,7.37,Medium,121.57,2.03
Container,Large,122.85,69.0,12.78,32.6,5.38,Medium,451.45,13.09
Cargo,Large,132.11,63.0,6.7,22.92,2.27,Low,484.96,18.63
Tanker,Small,25.17,72.0,10.52,46.65,3.57,Medium,178.83,3.37
Container,Medium,79.1,66.0,1.43,41.54,2.33,Low,56.16,10.63
Container,Small,24.55,97.0,28.18,24.97,11.72,Medium,111.27,1.43
Tanker,Large,134.64,92.0,19.68,35.09,4.37,Medium,335.33,11.63
Tanker,Medium,92.27,85.0,3.77,28.35,2.63,Low,86.47,11.05
Cargo,Large,168.57,95.0,6.87,29.4,2.56,Low,390.06,17.51
Tanker,Small,48.17,92.0,4.1,16.55,1.56,Low,461.52,9.72
Cargo,Medium,53.48,67.0,24.5,23.1,7.46,Medium,481.83,9.99
Passenger,Small,32.6,96.0,3.77,3.91,0.72,Low,4.66,5.51
Tanker,Small,35.05,82.0,30.17,17.87,6.0,Medium,479.08,5.72
Passenger,Small,36.61,92.0,0.82,34.79,1.94,Low,370.1,8.57
Container,Medium,78.26,96.0,9.98,47.66,4.7,Medium,42.03,6.1
Container,Medium,87.72,73.0,35.63,48.15,16.65,High,207.62,1.67
Cargo,Large,195.5,64.0,28.74,27.79,5.12,Medium,350.02,11.4
Cargo,Medium,88.58,69.0,2.92,30.33,2.81,Low,478.34,14.95
Tanker,Medium,63.47,77.0,32.85,9.29,14.47,High,82.07,1.55
Passenger,Small,28.96,93.0,19.72,34.77,9.75,Medium,63.87,1.38
Cargo,Medium,98.14,94.0,33.87,3.53,7.75,Medium,236.17,7.42
Passenger,Small,42.0,60.0,24.03,14.23,11.02,Medium,484.05,5.65
Cargo,Large,143.05,80.0,27.27,33.42,6.39,Medium,485.69,12.59
Container,Small,30.28,77.0,39.74,15.52,6.73,Medium,113.96,1.57
Tanker,Large,107.2,69.0,9.29,2.49,1.22,Low,159.67,15.76
Tanker,Medium,99.72,65.0,24.96,41.59,13.95,High,454.02,5.07
Tanker,Large,147.97,74.0,18.41,15.52,4.89,Medium,367.42,12.35
Cargo,Medium,59.29,98.0,1.58,3.16,0.9,Low,486.16,15.83
Passenger,Medium,90.06,73.0,0.58,3.74,0.31,Low,446.57,15.53
Cargo,Small,38.29,81.0,4.77,12.59,2.84,Low,107.55,6.1
Cargo,Small,35.35,88.0,25.96,8.9,12.43,Medium,379.86,4.48
Container,Small,33.19,75.0,22.69,38.72,12.59,High,24.28,0.0
Tanker,Small,48.43,99.0,22.14,16.08,7.41,Medium,408.92,5.32
Container,Large,120.14,98.0,1.27,40.23,2.58,Low,300.78,16.68
Tanker,Large,145.34,70.0,18.77,8.69,9.45,Medium,478.05,13.12
Passenger,Medium,91.84,80.0,36.98,24.64,9.73,Medium,480.02,9.09
Container,Large,193.86,72.0,15.9,34.4,5.97,Medium,25.41,8.57
Container,Large,118.68,71.0,25.0,32.6,11.32,Medium,80.26,8.17
Cargo,Large,105.52,61.0,31.19,30.06,8.37,Medium,242.1,9.82
Cargo,Large,120.29,84.0,31.36,46.24,14.9,High,439.75,6.41
Tanker,Medium,64.95,80.0,20.77,11.43,3.26,Low,407.22,13.68
Tanker,Small,25.15,62.0,34.32,24.69,11.85,High,482.19,2.43
Cargo,Medium,94.0,71.0,15.66,44.2,4.54,Medium,309.04,8.57
Passenger,Large,115.72,96.0,35.55,3.89,7.92,Medium,128.28,9.04
Container,Medium,71.37,70.0,9.61,2.79,2.09,Low,12.55,10.58
Tanker,Medium,97.86,66.0,11.21,11.67,5.47,Low,111.46,10.97
Tanker,Small,49.43,80.0,2.12,31.65,1.96,Low,337.64,8.24
Passenger,Large,122.31,99.0,31.82,12.99,14.12,High,463.14,7.37
Cargo,Large,133.4,70.0,16.68,9.51,7.44,Medium,160.45,10.24
Tanker,Large,117.65,87.0,9.16,22.94,3.89,Low,437.85,17.87
Cargo,Small,43.57,90.0,9.27,30.68,3.33,Low,197.45,6.36
Tanker,Large,106.18,70.0,36.06,12.43,7.5,Medium,154.14,9.14
Cargo,Medium,55.26,89.0,33.36,15.03,10.29,Medium,254.42,7.15
Passenger,Medium,80.32,75.0,22.14,30.68,3.83,Medium,221.14,7.71
Cargo,Large,197.21,85.0,24.64,47.29,10.07,Medium,456.9,11.78
Tanker,Medium,87.9,85.0,18.97,33.74,10.81,Medium,234.13,7.24
Passenger,Medium,76.64,81.0,15.67,39.15,4.49,Medium,138.67,6.97
Tanker,Large,139.27,64.0,36.62,18.34,12.98,High,421.28,6.72
Tanker,Large,140.5,93.0,5.02,13.61,3.11,Low,499.37,18.96
Passenger,Medium,75.08,73.0,16.74,22.71,8.57,Medium,324.09,8.69
Tanker,Large,118.46,67.0,13.78,40.36,8.08,Medium,125.23,9.35
Cargo,Medium,68.14,62.0,19.93,22.81,9.69,Medium,119.41,6.37
Cargo,Medium,67.61,84.0,18.31,42.34,6.21,Medium,28.85,5.51
Cargo,Small,47.02,87.0,20.76,49.44,11.94,High,38.65,0.0
Tanker,Large,175.27,61.0,5.6,3.6,2.85,Low,457.49,18.74
Passenger,Small,20.9,80.0,20.53,2.27,6.24,Medium,48.24,2.19
Cargo,Small,23.94,69.0,9.7,7.48,2.72,Low,242.17,7.32
Tanker,Large,160.66,86.0,7.37,19.22,2.92,Low,349.06,17.25
Container,Large,118.96,67.0,2.59,6.55,0.93,Low,425.18,18.7
Passenger,Medium,53.87,88.0,30.51,43.53,7.82,Medium,85.64,5.28
Tanker,Small,45.6,75.0,17.1,1.16,6.0,Low,218.89,6.51
Cargo,Small,37.93,97.0,25.07,15.79,8.94,Medium,125.74,2.19
Tanker,Medium,94.38,66.0,29.1,9.23,8.76,Medium,127.91,6.36
Cargo,Small,24.57,74.0,27.17,46.58,6.09,Medium,151.92,2.02
Container,Medium,91.72,65.0,18.82,33.47,9.55,Medium,293.56,7.97
Tanker,Medium,75.28,97.0,15.52,45.6,4.92,Medium,8.29,5.5
Container,Medium,86.19,95.0,15.04,48.62,4.62,Medium,204.38,7.46
Tanker,Small,32.02,70.0,25.6,24.85,10.18,Medium,93.42,1.54
Container,Small,22.95,86.0,19.79,11.72,5.72,Medium,483.56,6.44
Container,Small,38.09,93.0,33.97,9.69,4.69,Medium,291.36,3.95
Passenger,Small,21.94,82.0,34.99,11.15,9.03,Medium,434.05,4.86
Passenger,Medium,74.71,81.0,6.82,35.43,4.56,Low,97.84,10.67
Cargo,Large,132.19,70.0,5.45,2.02,1.99,Low,405.01,18.34
Tanker,Small,32.68,64.0,25.22,2.57,6.31,Medium,207.39,3.53
Container,Small,32.68,96.0,12.05,30.41,3.65,Low,88.85,5.11
Passenger,Medium,65.0,96.0,0.74,32.1,1.87,Low,380.62,14.14
Cargo,Small,34.93,85.0,35.55,33.26,17.84,High,381.01,0.58
Passenger,Small,37.02,74.0,9.08,18.59,4.18,Low,497.94,9.54
Cargo,Medium,88.46,74.0,37.17,40.3,17.82,High,390.47,3.46
Passenger,Small,32.53,89.0,28.7,26.68,10.19,Medium,72.63,1.14
Cargo,Medium,97.89,96.0,30.51,5.27,12.08,Medium,161.27,6.37
Cargo,Large,171.94,95.0,8.06,39.85,5.69,Medium,225.86,10.89
Container,Medium,57.55,91.0,9.37,47.65,6.22,Medium,63.33,6.19
Container,Small,39.54,86.0,20.85,3.0,9.82,Medium,394.02,5.26
Container,Large,183.32,63.0,6.88,19.57,2.85,Low,263.35,16.41
Cargo,Medium,53.57,66.0,12.22,24.38,6.86,Medium,472.22,10.54
Tanker,Large,130.04,96.0,12.86,7.32,4.85,Low,294.65,16.47
Passenger,Small,38.88,84.0,6.39,43.39,5.03,Medium,261.45,4.32
Cargo,Small,30.36,60.0,8.21,14.21,1.66,Low,35.71,5.3
Cargo,Medium,53.98,64.0,31.54,39.15,13.41,High,74.67,1.05
Cargo,Small,38.3,87.0,6.69,33.55,4.62,Low,424.76,8.58
Tanker,Large,133.99,60.0,1.14,29.9,1.69,Low,495.34,18.93
Container,Medium,56.2,66.0,25.17,9.61,9.66,Medium,207.59,7.26
Container,Medium,54.79,82.0,39.04,11.04,17.34,High,405.04,4.14
Cargo,Large,187.55,88.0,13.25,2.37,2.97,Low,313.79,16.93
Cargo,Small,26.15,86.0,4.75,12.04,1.85,Low,479.53,9.93
Passenger,Small,33.34,69.0,22.82,17.27,8.34,Medium,119.07,2.27
Container,Large,163.84,88.0,36.25,41.66,13.24,High,272.42,4.75
Container,Large,190.57,69.0,31.36,18.32,4.54,Medium,204.4,10.06
Passenger,Small,33.86,73.0,24.9,37.73,5.36,Medium,270.86,3.57
Cargo,Large,166.98,90.0,12.6,21.97,2.86,Low,134.43,14.79
Container,Large,158.54,86.0,21.68,39.24,6.4,Medium,248.87,10.38
Tanker,Large,157.16,94.0,3.65,48.81,3.16,Low,312.4,16.45
Container,Small,39.86,86.0,27.16,11.99,11.38,Medium,40.61,1.07
Tanker,Medium,55.46,83.0,29.0,43.12,11.7,High,371.49,4.23
Tanker,Large,142.58,64.0,38.6,31.09,17.21,High,353.26,5.26
Passenger,Small,39.3,75.0,10.42,40.86,3.38,Low,440.23,8.53
Cargo,Medium,52.0,71.0,0.74,32.58,1.85,Low,212.93,12.46
Passenger,Small,29.43,70.0,21.82,21.2,6.07,Medium,30.83,1.59
Tanker,Medium,91.3,99.0,28.27,11.4,13.01,Medium,230.73,6.96
Tanker,Medium,60.7,76.0,31.62,3.5,12.29,Medium,68.8,5.41
Tanker,Small,43.65,96.0,7.75,26.78,4.81,Low,323.72,7.63
Cargo,Large,126.49,85.0,10.47,49.52,3.72,Medium,23.57,8.75
Tanker,Small,23.29,92.0,20.5,36.9,9.81,Medium,187.0,2.53
Tanker,Medium,93.41,80.0,13.22,16.37,5.0,Low,41.42,10.13
Passenger,Large,196.8,83.0,34.42,41.36,16.87,High,1.68,1.78
Container,Medium,94.37,80.0,18.95,38.45,7.66,Medium,480.28,9.92
Passenger,Small,48.74,68.0,31.98,14.08,10.81,Medium,498.06,5.42
Cargo,Large,146.2,89.0,23.22,0.72,2.84,Low,277.75,16.12
Container,Large,158.42,71.0,30.92,5.91,11.66,Medium,119.48,8.76
Tanker,Large,157.49,61.0,13.31,43.87,4.98,Medium,455.55,12.91
Passenger,Small,30.36,86.0,33.26,41.83,5.68,Medium,461.52,4.95
Passenger,Small,43.0,67.0,10.98,14.76,2.13,Low,427.25,9.02
Container,Large,132.85,98.0,21.84,14.26,11.26,Medium,272.18,10.62
Passenger,Small,27.47,98.0,8.56,39.64,4.02,Low,37.35,4.55
Passenger,Medium,90.15,97.0,19.02,46.89,10.85,Medium,44.22,5.07
Tanker,Medium,96.62,75.0,12.73,38.96,8.11,Medium,448.31,9.86
Tanker,Small,41.35,61.0,10.67,30.28,6.61,Medium,437.91,5.98
Cargo,Small,41.58,97.0,38.68,12.13,18.12,High,217.2,0.0
Tanker,Small,32.62,77.0,6.4,26.29,4.25,Low,164.08,6.17
Container,Small,21.81,99.0,31.49,11.68,7.37,Medium,322.06,4.08
Passenger,Large,112.22,99.0,39.37,40.4,8.34,High,403.49,6.42
Passenger,Medium,61.73,94.0,0.8,19.35,1.25,Low,365.84,14.31
Cargo,Medium,65.75,72.0,27.96,41.68,10.34,High,307.8,3.81
Cargo,Medium,53.4,75.0,10.12,19.08,2.37,Low,115.76,11.23
Container,Small,34.2,94.0,1.62,41.21,2.66,Low,131.25,5.94
Tanker,Medium,87.39,73.0,16.12,16.67,6.07,Medium,362.03,9.47
Passenger,Medium,95.14,67.0,37.41,22.01,17.76,High,401.31,3.93
Cargo,Small,48.19,82.0,0.47,30.77,1.7,Low,58.07,5.57
Container,Medium,72.52,97.0,23.52,3.51,7.93,Medium,93.65,6.5
Passenger,Large,176.52,88.0,20.06,47.41,7.91,Medium,340.24,11.06
Container,Medium,98.47,83.0,34.94,28.68,11.4,High,194.49,2.48
Passenger,Large,192.79,64.0,3.36,25.39,2.89,Low,281.65,16.65
Container,Large,182.02,85.0,27.26,41.97,6.33,Medium,307.41,10.64
Container,Medium,83.44,100.0,27.2,43.29,9.74,Medium,388.1,8.28
Container,Medium,95.48,66.0,26.76,26.11,11.0,Medium,402.86,8.67
Passenger,Small,40.48,81.0,37.69,46.36,12.62,High,140.05,0.0
Container,Small,30.91,95.0,32.92,3.24,7.18,Medium,270.65,3.68
Tanker,Medium,84.48,90.0,1.68,5.66,0.64,Low,61.76,11.56
Container,Medium,63.21,88.0,18.84,29.84,5.14,Medium,421.01,9.76
Container,Large,189.75,88.0,15.92,17.7,4.67,Low,422.72,17.41
Container,Medium,57.69,74.0,12.41,23.21,6.73,Medium,149.75,7.34
Tanker,Large,165.33,72.0,18.05,16.4,6.27,Medium,80.31,9.35
Passenger,Medium,74.63,92.0,15.37,20.24,4.03,Low,35.05,9.97
Tanker,Large,190.43,92.0,17.29,41.13,6.44,Medium,287.49,10.94
Cargo,Medium,84.56,95.0,39.17,29.67,7.06,Medium,45.71,4.8
Passenger,Medium,85.67,97.0,3.55,49.87,4.13,Low,340.3,13.02
Container,Small,26.49,80.0,36.89,39.34,11.68,High,339.06,0.59
Cargo,Small,31.04,80.0,19.21,13.68,10.14,Medium,306.99,4.22
Cargo,Medium,89.84,92.0,24.95,13.22,6.62,Medium,438.28,9.81
Passenger,Large,130.13,86.0,33.21,16.79,15.27,High,189.14,4.37
Container,Large,101.93,88.0,14.42,42.16,5.03,Medium,451.13,12.84
Container,Small,21.19,92.0,17.22,1.36,2.31,Low,18.46,4.87
Passenger,Medium,69.09,96.0,16.38,11.51,2.42,Low,56.38,10.47
Container,Large,151.18,74.0,14.99,45.25,7.4,Medium,206.1,10.07
Passenger,Large,136.28,75.0,37.02,31.99,9.92,High,297.0,5.49
Passenger,Small,44.47,64.0,33.16,11.34,9.77,Medium,16.19,0.7
Cargo,Small,26.4,83.0,4.36,10.96,2.41,Low,283.72,7.96
Passenger,Large,102.83,61.0,4.32,43.13,3.02,Low,153.7,14.96
Passenger,Small,49.56,79.0,17.11,44.69,6.06,Medium,443.57,5.48
Passenger,Large,139.83,82.0,3.95,12.81,2.37,Low,266.64,16.78
Passenger,Medium,70.4,71.0,24.76,21.03,8.41,Medium,293.95,8.04
Passenger,Small,23.22,84.0,5.75,41.73,4.57,Low,472.81,8.95
Container,Medium,80.61,61.0,20.89,38.55,7.15,Medium,382.09,8.89
Passenger,Large,183.61,61.0,0.29,40.7,2.11,Low,219.14,15.95
Tanker,Medium,59.98,93.0,12.66,25.92,3.41,Low,238.44,12.09
Cargo,Large,132.69,74.0,27.09,45.58,14.92,High,323.96,5.48
Container,Small,22.51,65.0,19.36,16.3,9.7,Medium,100.1,2.14
Passenger,Medium,99.14,81.0,39.13,7.83,19.71,High,44.33,0.36
Tanker,Large,196.4,91.0,34.96,35.44,10.9,High,155.62,4.01
Cargo,Medium,50.57,69.0,14.36,26.97,7.49,Medium,389.19,9.49
Passenger,Large,179.87,85.0,1.82,42.73,2.62,Low,128.66,14.88
Container,Large,174.65,63.0,33.83,4.06,9.73,Medium,65.38,8.31
Container,Medium,86.55,62.0,36.45,42.18,17.86,High,109.51,0.64
Tanker,Large,144.04,81.0,32.83,14.66,6.35,Medium,339.49,11.23
Container,Small,46.97,82.0,5.12,32.74,2.6,Low,306.97,7.7
Cargo,Medium,90.27,85.0,39.92,2.01,9.12,Medium,344.16,8.09
Container,Large,176.37,89.0,10.34,30.48,5.82,Medium,160.98,10.3
Passenger,Medium,88.19,99.0,28.97,35.86,9.01,Medium,450.43,9.04
Passenger,Large,111.69,81.0,36.32,18.44,9.76,Medium,225.89,9.5
Tanker,Medium,91.04,73.0,9.43,10.77,5.25,Low,256.86,12.56
Container,Medium,52.54,92.0,36.33,26.88,10.55,High,474.4,5.33
Container,Large,185.22,71.0,12.38,41.66,4.55,Medium,489.64,13.39
Tanker,Medium,52.96,78.0,39.06,16.18,14.45,High,330.77,3.59
Tanker,Large,155.66,63.0,11.25,12.62,5.36,Low,472.41,18.17
Passenger,Medium,84.1,61.0,38.14,13.95,5.57,Medium,270.75,7.56
Cargo,Medium,60.12,99.0,2.14,47.46,3.12,Low,153.64,11.37
Container,Medium,90.59,93.0,28.37,17.96,4.14,Medium,157.55,6.98
Cargo,Large,194.31,88.0,21.28,0.18,6.62,Medium,279.47,11.47
Passenger,Large,183.27,76.0,19.12,39.08,5.83,Medium,302.52,11.1
Tanker,Medium,98.24,67.0,8.94,34.96,3.74,Low,219.81,11.88
Tanker,Small,38.7,66.0,28.22,6.43,8.42,Medium,441.89,5.44
Passenger,Small,26.7,70.0,7.63,49.25,6.06,Medium,213.35,3.56
Passenger,Medium,69.23,82.0,22.11,30.4,10.02,Medium,136.71,6.25
Container,Medium,75.25,89.0,10.13,25.04,6.06,Medium,3.99,6.03
Container,Small,40.74,86.0,38.22,19.11,14.87,High,485.28,2.07
Cargo,Medium,52.72,71.0,1.15,44.93,2.36,Low,412.16,14.13
Container,Large,164.8,98.0,7.99,12.2,2.26,Low,307.78,17.01
Cargo,Small,41.85,90.0,9.69,14.29,5.19,Low,415.27,8.66
Container,Medium,95.0,82.0,16.56,6.12,6.22,Medium,405.14,10.08
Container,Medium,75.91,84.0,9.31,37.96,6.48,Medium,465.93,10.39
Tanker,Medium,91.66,77.0,19.65,29.78,4.68,Medium,193.03,7.48
Passenger,Large,148.37,70.0,34.9,30.45,9.16,Medium,277.43,9.9
Container,Medium,72.22,74.0,28.48,10.92,7.52,Medium,49.31,5.7
Passenger,Large,117.81,90.0,23.2,32.56,6.98,Medium,482.66,12.72
Passenger,Medium,50.83,61.0,3.56,38.27,2.63,Low,492.56,14.92
Passenger,Small,37.34,65.0,27.76,17.89,8.59,Medium,394.54,4.74
Container,Small,24.99,62.0,6.66,40.07,4.38,Low,227.06,6.5
Container,Large,146.73,62.0,31.45,17.44,7.93,Medium,248.28,10.17
Passenger,Large,124.05,94.0,10.0,37.91,3.21,Low,217.68,15.4
Container,Medium,52.75,88.0,16.68,1.69,6.48,Low,146.66,11.15
Tanker,Medium,57.75,79.0,14.02,27.56,5.35,Medium,263.9,8.45
Tanker,Small,48.99,64.0,34.35,48.48,13.51,High,26.72,0.0
Tanker,Small,28.13,80.0,5.06,49.06,3.88,Low,495.94,9.14
Tanker,Small,23.47,79.0,22.63,14.09,11.03,Medium,212.03,3.0
Container,Small,40.77,67.0,5.68,22.07,2.94,Low,463.68,9.42
Tanker,Large,142.11,77.0,28.19,3.15,13.39,Medium,362.14,11.21
Tanker,Medium,77.0,76.0,36.2,43.67,13.2,High,144.97,1.45
Cargo,Small,31.18,85.0,17.38,28.43,5.19,Medium,111.03,2.55
Container,Large,142.03,85.0,19.52,19.26,5.69,Medium,497.84,13.45
Container,Small,44.88,62.0,37.1,5.64,11.74,Medium,386.06,4.12
Tanker,Medium,74.06,75.0,20.84,47.34,8.87,Medium,124.83,5.97
Container,Large,168.47,85.0,19.5,26.51,8.64,Medium,33.72,8.37
Cargo,Medium,55.16,80.0,23.13,14.15,5.1,Medium,348.46,9.14
Tanker,Medium,65.19,94.0,27.57,17.51,10.9,Medium,151.51,6.3
